id,data,dia_semana,hora,uf,rodovia,km,municipio,causa,tipo_acidente,classificacao,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,data_hora,ano,mes,hora_dia,periodo_dia,regiao_grande_vitoria,risco_alto,nivel_risco,rodovia_label
652761.0,2025-01-02,quinta,13:20,ES,262.0,73.2,MARECHAL FLORIANO,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Ponte;Declive;Curva,Não,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,-20.41066352,-40.88380166,SPRF-ES,DEL01-ES,UOP02-DEL01-ES,2025-01-02 13:20:00,2025.0,1.0,13.0,tarde,False,1,grave,BR-262
652869.0,2025-01-03,sexta,05:03,ES,101.0,294.5,CARIACICA,Ausência de reação do condutor,Engavetamento,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Dupla,Aclive;Reta,Sim,4.0,0.0,0.0,1.0,2.0,4.0,1.0,7.0,-20.32415948,-40.3952903,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,2025-01-03 05:03:00,2025.0,1.0,5.0,madrugada,True,1,grave,BR-101
652976.0,2025-01-03,sexta,17:00,ES,101.0,301.0,VIANA,Demais falhas mecânicas ou elétricas,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Aclive;Retorno Regulamentado,Sim,4.0,0.0,1.0,0.0,2.0,3.0,1.0,6.0,-20.36825561,-40.44406414,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,2025-01-03 17:00:00,2025.0,1.0,17.0,tarde,True,0,moderado,BR-101
652989.0,2025-01-03,sexta,17:30,ES,101.0,291.8,CARIACICA,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Ignorado,Dupla,Reta,Não,3.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,-20.29755744,-40.39445616,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,2025-01-03 17:30:00,2025.0,1.0,17.0,tarde,True,0,moderado,BR-101
653419.0,2025-01-05,domingo,22:00,ES,393.0,11.2,MUQUI,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Declive;Reta,Não,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,-20.85189406,-41.24479292,SPRF-ES,DEL03-ES,UOP02-DEL03-ES,2025-01-05 22:00:00,2025.0,1.0,22.0,noite,False,1,grave,BR-393
653528.0,2025-01-06,segunda,15:30,ES,101.0,173.8,ARACRUZ,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Sim,3.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,-19.57221883,-40.18397327,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,2025-01-06 15:30:00,2025.0,1.0,15.0,tarde,False,1,grave,BR-101
653663.0,2025-01-07,terca,10:45,ES,393.0,1.3,CACHOEIRO DE ITAPEMIRIM,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,3.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,-20.83723289,-41.16733095,SPRF-ES,DEL03-ES,UOP02-DEL03-ES,2025-01-07 10:45:00,2025.0,1.0,10.0,manha,False,1,grave,BR-393
653864.0,2025-01-08,quarta,16:03,ES,101.0,78.9,SAO MATEUS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Aclive;Reta,Não,4.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,-18.81417602,-39.90121797,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,2025-01-08 16:03:00,2025.0,1.0,16.0,tarde,False,1,grave,BR-101
654227.0,2025-01-10,sexta,14:15,ES,101.0,210.8,IBIRACU,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Simples,Aclive;Reta,Sim,5.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,-19.798437,-40.36982,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,2025-01-10 14:15:00,2025.0,1.0,14.0,tarde,False,1,fatal,BR-101
654741.0,2025-01-12,domingo,23:40,ES,101.0,64.0,SAO MATEUS,Ingestão de álcool pelo condutor,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Garoa/Chuvisco,Simples,Reta,Não,3.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,-18.70428583,-39.87065983,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,2025-01-12 23:40:00,2025.0,1.0,23.0,noite,False,0,moderado,BR-101
